movie,rating,votes
The Witcher,8.1,539085.0
Mission: Impossible - Dead Reckoning Part One,8.0,106759.0
Sound of Freedom,7.9,41808.0
Secret Invasion,6.2,40536.0
Special Ops: Lioness,7.5,3203.0
They Cloned Tyrone,6.7,14271.0
Star Trek: Strange New Worlds,8.3,45723.0
One Piece,6.5,4801.0
Twisted Metal,7.5,4334.0
The Flash,6.9,126445.0
Jack Ryan,8.0,160501.0
Transformers: Rise of the Beasts,6.1,62180.0
Game of Thrones,9.2,2186960.0
Indiana Jones and the Dial of Destiny,6.8,87700.0
Invincible,8.7,159339.0
The Boys,8.7,570614.0
The Out-Laws,5.4,24122.0
Justified,8.6,109050.0
Guardians of the Galaxy Vol. 3,8.1,237866.0
Spider-Man: Across the Spider-Verse,8.9,196674.0
The Marvels,6.5,4801.0
Teenage Mutant Ninja Turtles: Mutant Mayhem,7.7,518.0
Inception,8.8,4801.0
Tenet,7.3,4801.0
The Dark Knight,9.0,4801.0
Guy Ritchie's The Covenant,7.5,94536.0
Dunkirk,7.8,4801.0
Hidden Strike,5.5,4406.0
Bawaal,6.8,10268.0
John Wick: Chapter 4,7.8,252522.0
Avatar: The Way of Water,7.6,4801.0
Jujutsu Kaisen,8.5,77707.0
One Piece: Wan p̨su,8.9,154563.0
Warrior,8.4,32109.0
The Last of Us,8.8,442362.0
Dungeons & Dragons: Honor Among Thieves,7.3,158736.0
The Rookie,8.0,54161.0
Dune: Part One,8.0,4801.0
Meg 2: The Trench,6.5,4801.0
NCIS: Naval Criminal Investigative Service,7.8,155765.0
Mission: Impossible - Fallout,7.7,4801.0
Shingeki no Kyojin,9.1,422151.0
Extraction 2,7.0,109986.0
Mission: Impossible,7.1,4801.0
Miraculous - Le film,6.4,2087.0
Fear the Night,4.6,789.0
The Batman,7.8,4801.0
Top Gun: Maverick,8.3,4801.0
The Meg,5.6,4801.0
Gen V,6.5,4801.0
Resident Evil: Death Island,5.8,3414.0
Gran Turismo,7.4,378.0
Sisu,6.9,47740.0
House of the Dragon,8.5,335392.0
Fast X,5.9,83020.0
Reacher,8.1,146001.0
Star Trek: Lower Decks,7.6,20993.0
Barry,8.4,110982.0
"Ruby Gillman, Teenage Kraken",5.7,4476.0
Almost Paradise,7.5,5201.0
Nimona,7.5,361419.0
Vikings,7.6,22472.0
Dune: Part Two,8.5,557335.0
The Mandalorian,6.5,4801.0
Paradise,8.7,553378.0
The Night Agent,6.3,2583.0
Justice League: Warworld,7.5,89079.0
Mission: Impossible - Rogue Nation,5.4,1004.0
The Dark Knight Rises,7.4,4801.0
65,8.4,4801.0
Napoleon,5.4,62251.0
Everything Everywhere All at Once,6.5,4801.0
The Wheel of Time,7.8,4801.0
Batman Begins,7.1,111605.0
The Channel,8.2,4801.0
My Adventures with Superman,5.3,757.0
Nobody,7.7,2405.0
Mission: Impossible - Ghost Protocol,7.4,4801.0
Blue Beetle,7.4,4801.0
Mission: Impossible III,6.5,4801.0
Blade Runner 2049,6.9,4801.0
Bullet Train,8.0,4801.0
Titans,7.3,4801.0
Spider-Man: Into the Spider-Verse,7.5,109079.0
The Dragon Prince,8.4,4801.0
Mission: Impossible II,8.3,25647.0
Drive,6.1,4801.0
Raiders of the Lost Ark,7.8,4801.0
Harley Quinn,8.4,4801.0
Kimetsu no Yaiba,8.5,34209.0
Star Trek: The Next Generation,8.7,127784.0
S.W.A.T.,8.7,129244.0
Ahsoka,7.2,28741.0
The Last Kingdom,6.5,4801.0
God Is a Bullet,8.5,156520.0
The Suicide Squad,5.5,2049.0
Spider-Man: No Way Home,7.2,4801.0
Borderlands,8.2,4801.0
FUBAR,6.5,4801.0
Prison Break,6.5,30192.0
09-01-2001,8.3,557685.0
Buffy the Vampire Slayer,7.9,40651.0
The Hunger Games,8.3,153582.0
The Creator,7.2,4801.0
Top Gun,6.5,4801.0
Star Trek: Discovery,6.9,4801.0
Smallville,7.1,128716.0
The Lord of the Rings: The Rings of Power,7.5,133582.0
Avengers: Endgame,7.0,335337.0
Ant-Man and the Wasp: Quantumania,8.4,4801.0
Misanthrope,6.1,194214.0
Miraculous: Tales of Ladybug & Cat Noir,6.5,18715.0
The Nice Guys,7.6,13795.0
Bleach: Sennen Kessen-hen,7.4,4801.0
Heat,9.1,21828.0
Kalki 2898-AD,8.3,4801.0
Kandahar,6.5,4801.0
Chicago Fire,6.0,15307.0
The Lord of the Rings: The Fellowship of the Ring,8.0,60824.0
Bastille Day,8.8,4801.0
Person of Interest,6.3,4801.0
Star Trek,8.5,182895.0
Andor,8.4,88664.0
